agency,year,budget
Chemical Safety and Hazard Investigation Board,1995,0
Chemical Safety and Hazard Investigation Board,1996,0
Chemical Safety and Hazard Investigation Board,1997,0
Chemical Safety and Hazard Investigation Board,1998,4000
Chemical Safety and Hazard Investigation Board,1999,7000
Chemical Safety and Hazard Investigation Board,2000,8000
Chemical Safety and Hazard Investigation Board,2001,8000
Chemical Safety and Hazard Investigation Board,2002,8000
Chemical Safety and Hazard Investigation Board,2003,6000
Chemical Safety and Hazard Investigation Board,2004,9000
Chemical Safety and Hazard Investigation Board,2005,10000
Chemical Safety and Hazard Investigation Board,2006,9000
Chemical Safety and Hazard Investigation Board,2007,9000
Chemical Safety and Hazard Investigation Board,2008,9000
Chemical Safety and Hazard Investigation Board,2009,10000
Chemical Safety and Hazard Investigation Board,2010,11000
Chemical Safety and Hazard Investigation Board,2011,11000
Chemical Safety and Hazard Investigation Board,2012,11000
Chemical Safety and Hazard Investigation Board,2013,10000
Chemical Safety and Hazard Investigation Board,2014,11000
Chemical Safety and Hazard Investigation Board,2015,11000
Chemical Safety and Hazard Investigation Board,2016,12000
Chemical Safety and Hazard Investigation Board,2017,12000
Chemical Safety and Hazard Investigation Board,2018,12000
Chemical Safety and Hazard Investigation Board,2019,13000
Chemical Safety and Hazard Investigation Board,2020,13000
Court Services and Offender Supervision Agency for the District of Columbia,1976,0
Court Services and Offender Supervision Agency for the District of Columbia,1977,0
Court Services and Offender Supervision Agency for the District of Columbia,1978,0
Court Services and Offender Supervision Agency for the District of Columbia,1979,0
Court Services and Offender Supervision Agency for the District of Columbia,1980,0
Court Services and Offender Supervision Agency for the District of Columbia,1981,0
Court Services and Offender Supervision Agency for the District of Columbia,1982,0
Court Services and Offender Supervision Agency for the District of Columbia,1983,0
Court Services and Offender Supervision Agency for the District of Columbia,1984,0
Court Services and Offender Supervision Agency for the District of Columbia,1985,0
Court Services and Offender Supervision Agency for the District of Columbia,1986,0
Court Services and Offender Supervision Agency for the District of Columbia,1987,0
Court Services and Offender Supervision Agency for the District of Columbia,1988,0
Court Services and Offender Supervision Agency for the District of Columbia,1989,0
Court Services and Offender Supervision Agency for the District of Columbia,1990,0
Court Services and Offender Supervision Agency for the District of Columbia,1991,0
Court Services and Offender Supervision Agency for the District of Columbia,1992,0
Court Services and Offender Supervision Agency for the District of Columbia,1993,0
Court Services and Offender Supervision Agency for the District of Columbia,1994,0
Court Services and Offender Supervision Agency for the District of Columbia,1995,0
Court Services and Offender Supervision Agency for the District of Columbia,1996,0
Court Services and Offender Supervision Agency for the District of Columbia,1997,0
Court Services and Offender Supervision Agency for the District of Columbia,1998,0
Court Services and Offender Supervision Agency for the District of Columbia,1999,60000
Court Services and Offender Supervision Agency for the District of Columbia,2000,93000
Court Services and Offender Supervision Agency for the District of Columbia,2001,112000
Court Services and Offender Supervision Agency for the District of Columbia,2002,147000
Court Services and Offender Supervision Agency for the District of Columbia,2003,154000
Court Services and Offender Supervision Agency for the District of Columbia,2004,167000
Court Services and Offender Supervision Agency for the District of Columbia,2005,179000
Court Services and Offender Supervision Agency for the District of Columbia,2006,169000
Court Services and Offender Supervision Agency for the District of Columbia,2007,180000
Court Services and Offender Supervision Agency for the District of Columbia,2008,190000
Court Services and Offender Supervision Agency for the District of Columbia,2009,203000
Court Services and Offender Supervision Agency for the District of Columbia,2010,212000
Court Services and Offender Supervision Agency for the District of Columbia,2011,212000
Court Services and Offender Supervision Agency for the District of Columbia,2012,213000
Court Services and Offender Supervision Agency for the District of Columbia,2013,202000
Court Services and Offender Supervision Agency for the District of Columbia,2014,226000
Court Services and Offender Supervision Agency for the District of Columbia,2015,234000
Court Services and Offender Supervision Agency for the District of Columbia,2016,245000
Court Services and Offender Supervision Agency for the District of Columbia,2017,250000
Court Services and Offender Supervision Agency for the District of Columbia,2018,255000
Court Services and Offender Supervision Agency for the District of Columbia,2019,257000
Court Services and Offender Supervision Agency for the District of Columbia,2020,260000
Presidio Trust,1976,0
Presidio Trust,1977,0
Presidio Trust,1978,0
Presidio Trust,1979,0
Presidio Trust,1980,0
Presidio Trust,1981,0
Presidio Trust,1982,0
Presidio Trust,1983,0
Presidio Trust,1984,0
Presidio Trust,1985,0
Presidio Trust,1986,0
Presidio Trust,1987,0
Presidio Trust,1988,0
Presidio Trust,1989,0
Presidio Trust,1990,0
Presidio Trust,1991,0
Presidio Trust,1992,0
Presidio Trust,1993,0
Presidio Trust,1994,0
Presidio Trust,1995,0
Presidio Trust,1996,0
Presidio Trust,1997,0
Presidio Trust,1998,0
Presidio Trust,1999,34000
Presidio Trust,2000,44000
Presidio Trust,2001,33000
Presidio Trust,2002,23000
Presidio Trust,2003,21000
Presidio Trust,2004,21000
Presidio Trust,2005,20000
Presidio Trust,2006,20000
Presidio Trust,2007,20000
Presidio Trust,2008,22000
Presidio Trust,2009,17000
Presidio Trust,2010,23000
Presidio Trust,2011,15000
Presidio Trust,2012,12000
Presidio Trust,2013,0
Presidio Trust,2014,0
Presidio Trust,2015,0
Presidio Trust,2016,0
Presidio Trust,2017,0
Presidio Trust,2018,1000
Presidio Trust,2019,0
Presidio Trust,2020,0
Denali Commission,1976,0
Denali Commission,1977,0
Denali Commission,1978,0
Denali Commission,1979,0
Denali Commission,1980,0
Denali Commission,1981,0
Denali Commission,1982,0
Denali Commission,1983,0
Denali Commission,1984,0
Denali Commission,1985,0
Denali Commission,1986,0
Denali Commission,1987,0
Denali Commission,1988,0
Denali Commission,1989,0
Denali Commission,1990,0
Denali Commission,1991,0
Denali Commission,1992,0
Denali Commission,1993,0
Denali Commission,1994,0
Denali Commission,1995,0
Denali Commission,1996,0
Denali Commission,1997,0
Denali Commission,1998,0
Denali Commission,1999,20000
Denali Commission,2000,25000
Denali Commission,2001,18000
Denali Commission,2002,53000
Denali Commission,2003,68000
Denali Commission,2004,62000
Denali Commission,2005,71000
Denali Commission,2006,53000
Denali Commission,2007,54000
Denali Commission,2008,28000
Denali Commission,2009,19000
Denali Commission,2010,19000
Denali Commission,2011,8000
Denali Commission,2012,23000
Denali Commission,2013,17000
Denali Commission,2014,17000
Denali Commission,2015,14000
Denali Commission,2016,14000
Denali Commission,2017,14000
Denali Commission,2018,14000
Denali Commission,2019,15000
Denali Commission,2020,15000
Broadcasting Board of Governors,1976,0
Broadcasting Board of Governors,1977,58877
Broadcasting Board of Governors,1978,88932
Broadcasting Board of Governors,1979,106685
Broadcasting Board of Governors,1980,91870
Broadcasting Board of Governors,1981,93305
Broadcasting Board of Governors,1982,103519
Broadcasting Board of Governors,1983,134117
Broadcasting Board of Governors,1984,170706
Broadcasting Board of Governors,1985,221776
Broadcasting Board of Governors,1986,232522
Broadcasting Board of Governors,1987,251954
Broadcasting Board of Governors,1988,231759
Broadcasting Board of Governors,1989,304075
Broadcasting Board of Governors,1990,469615
Broadcasting Board of Governors,1991,342906
Broadcasting Board of Governors,1992,336822
Broadcasting Board of Governors,1993,172178
Broadcasting Board of Governors,1994,304464
